	A-ID	BIOLOGY1	BIOLOGY2	BIOLOGY_prac	CHEMISTRY1	CHEMISTRY2	CHEMISTRY_prac	ENGLISH1	ENGLISH2	ISLAMIYAT1	ISLAMIYAT2	MATHEMATICS1	MATHEMATICS2	PAKSTUDIES1	PAKSTUDIES2	PHYSICS1	PHYSICS2	PHYSICS_prac	URDU1	URDU2
1526	803652	 31	 28	 17	 24	 22	 22	 25	 17	 36	 30	 12	 14	 25	 28	 20	 30	 26	 52	 37
1527	803653	 15		 12	 30	 20	 21	 29	 20	 37	 31	 25	 25	 27	 20	 37	 20	 23	 44	 30
1528	803654	 26	 23	 16	 21	 20	 23	 25	 33	 38	 38		 19	 28	 31	 29	 25	 23	 43	 51
1588	803738	 26	 29	 16	 22	 34	 22	 31	 34	 17	 33	 10	 16	 17	 27	 10	 23	 24	 32	 41
1589	803741	 20	 10	 15	 20	 23	 16	 25	 15	 25	 22		 18	 22	 36	 21	 23	 22	 29	 32
1590	803747	 20	 20	 18	 20	 33	 17	 27	 13	 29	 33		 20	 18	 37	 25	 32	 19	 38	 31
1621	803781	 15	 16	 24	 28	 26	 19	 35	 54	 44	 41	 15	 13	 39	 37	 25	 32	 24	 50	 53
1633	803812		 10	 20	 24	 30	 23	 33	 19	 45	 38	 34	 25	 31	 27	 23	 16	 24	 49	 51
1649	803842	 24	 21	 14	 35	 20	 24	 25	 33	 35	 23		 25	 33	 18	 23	 20	 22	 45	 42
1650	803843	 10		 16	 20		 21	 30	 34	 30	 26		 16	 22	 18	 13	 15	 23	 44	 40
1651	803844							 25		 22	 22				 13			 25	 36	 25
1652	803845	 23	 24	 15	 20	 29	 25	 34	 25	 39	 30	 18	 25	 29	 29	 21	 13	 23	 50	 55
1653	803846	 38		 14	 30	 10	 23	 33	 32	 28	 33			 29	 12			 22	 41	 35
1659	803857	 20	 20	 18		 20	 22	 27	 25	 22	 26	 11	 25	 27	 17		 27	 23	 49	 54
1660	803858	 20	 15	 17			 19	 34	 29	 20	 29	 25	 25	 20	 29	 20	 20	 27	 45	 50
1661	803859	 12	 20	 17	 11	 14	 21	 34	 12	 19	 30	 25	 28	 20	 23		 11	 22	 44	 53
1662	803862		 20	 17	 22	 14	 21	 32	 33	 30	 25	 14	 20	 27	 18	 23	 20	 25	 47	 38
1663	803865		 10	 17			 26	 25	 13	 18	 29		 12	 17	 10		 14	 26	 48	 47
1664	803871		 15	 26	 25	 20	 28	 27	 36	 32	 34	 25	 18	 17	 17	 16	 23	 25	 36	 53
1665	803873	 14	 16	 16	 23	 24	 23	 39	 37	 26	 31	 13	 25	 17	 31	 11	 15	 25	 44	 51
1698	803910	 24	 11	 18			 14	 37	 29	 28	 29			 26	 28	 21	 11	 23	 50	 44
1699	803912	 20	 20			 16		 41	 40	 18	 23		 15	 19	 33		 11	 23	 37	 46
1700	803915			 19			 21	 18	 26	 31	 39	 25		 18	 30			 19	 42	 51
1701	803916	 33	 35	 16	 11	 16	 23	 33	 47	 21	 33	 11	 19	 21	 28	 15	 24	 26	 49	 55
1702	803920		 16	 16	 21	 24	 22	 30	 20	 24	 19		 16	 17	 25	 20	 21	 21	 36	 44
1737	803958	 22	 20	 20		 14	 18	 35	 50	 20	 26	 18	 29	 18	 23	 10	 22	 27	 36	 41
1738	803961	 14	 15	 16	 20	 22	 20	 27	 25	 23	 26		 28	 23	 26	 20	 20	 25	 40	 44
1739	803963	 12	 16	 19	 20	 11	 20	 51	 36	 28	 33	 16	 13	 25	 32	 11	 22	 26	 40	 41
1740	803985	 20	 16	 22	 13	 24	 12	 26	 11	 23	 37		 19	 17	 33	 26	 17	 19	 36	 44
1741	803986	 35	 23	 23	 29	 21	 24	 25	 20	 43	 42	 14	 25	 38	 33	 24	 25	 18	 51	 47
1742	803992	 32	 21	 23	 25	 23	 20	 25	 25	 41	 42	 11	 26	 37	 36	 26	 25	 18	 45	 36
1906	804282	 20	 20	 21	 14	 28	 23	 12	 25	 44	 37	 14	 18	 26	 35	 20	 25	 18	 43	 44
1916	804351	 13	 27	 16	 15	 20	 22	 25	 28	 46	 42	 26	 42	 24	 45	 13	 20	 18	 49	 40
1920	804399	 27	 38	 24	 44	 42		 55	 59	 48	 41	 37	 66	 42	 38	 56	 49	 25	 60	 48
1921	804406	 21	 22	 13	 22	 23	 25	 34	 31	 36	 36	 19	 18	 35	 35	 20	 27	 28	 46	 38
2040	804626	 20	 13	 21			 26	 38	 34	 29	 36	 12	 34	 21	 33	 20	 12	 27	 42	 35
2054	804746	 26	 29	 18	 12	 26	 26	 42	 46	 36	 34	 10		 38	 37	 23	 23	 19	 50	 41
2055	804747	 20	 31		 24	 24		 58	 62	 37	 46			 36		 30	 31		 53	
2182	804943		 11	 24	 24		 24	 25	 16	 33	 22			 19	 10	 24	 20	 23	 43	 36
2183	804945	 13	 21	 17	 14	 25	 24	 13	 19	 37	 30	 13	 25	 21	 17	 20	 23	 23	 33	 36
2192	804967	 34	 20	 24	 31	 14	 25	 28	 15	 33	 20	 19	 25	 21	 18	 24	 20	 23	 30	 37
2385	805302	 20	 10	 24	 15	 15	 25	 36	 27	 39	 35	 37	 33	 21	 31	 43	 16	 26	 39	 41
2436	805408		 12	 26	 22	 20	 27	 39	 44	 36	 39	 29	 41	 35	 43	 23	 34	 20	 43	 43
2437	805409	 11	 12	 21	 23	 23	 23	 27	 44	 35	 41	 27	 44	 39	 41	 24	 38	 18	 40	 50
2442	805419		 13	 17		 10	 22	 18	 15	 23	 19		 11	 30	 19	 20	 25	 18	 38	 43
2448	805431	 17	 27	 20		 24	 25	 19	 16	 39	 29	 29	 42	 37	 34	 22	 34	 22	 55	 50
2458	805459			 18			 23	 25		 26	 14	 13	 14	 24		 20		 16	 34	 38
2460	805462	 24	 20	 16	 10		 23	 27	 15	 32	 28	 47	 42	 33	 22	 22	 34	 21	 51	 53
2462	805466		 12	 17	 20	 11	 21	 25		 33	 24			 34		 21	 11	 16	 51	 26
2464	805470	 12	 22	 15		 20	 19	 29	 17	 39	 31	 25	 36	 39	 34	 20	 13	 21	 56	 48
2481	805500	 22	 22	 18		 30	 25	 19	 14	 37	 32	 25	 28	 36	 37	 23	 32	 21	 43	 46
2484	805503	 17	 20	 17		 29	 28	 15		 28	 26		 39	 39	 29	 26	 33	 20	 45	 37
2486	805514	 15	 30	 20	 29		 22	 31	 18	 33	 18	 35	 18	 38	 32	 26		 27	 46	 32
2487	805517	 26	 25	 19	 25	 33	 26	 32	 18	 37	 37	 13	 25	 38	 42	 20	 40	 25	 51	 49
2488	805519	 14	 12	 18	 30	 20	 25	 28	 16	 29	 13	 35	 34	 37	 26	 30	 21	 23	 45	 36
2536	805614	 16	 21	 28	 27	 21	 22	 19	 21	 29	 50	 26	 39	 21	 44	 36	 32	 23	 43	 48
2546	805663	 50	 22	 23		 30	 18	 13	 27	 22	 44	 32	 15	 22	 41	 20	 32	 23	 49	 51
2550	805693	 10		 16			 18	 14		 17	 18	 15	 12	 18	 40		 13	 23	 28	 46
2656	805952	 42	 23	 26	 32	 26	 24	 18	 17	 43	 48	 19	 64	 33	 44	 39	 25	 28	 56	 57
2662	805961	 25	 28	 25	 41	 24	 23	 19	 12	 34	 40	 15	 15	 32	 45	 21	 22	 25	 50	 59
2669	805980	 12	 14	 26	 20	 20	 22	 25	 27	 22	 42	 19	 32	 27	 39	 15	 18	 22	 47	 53
2694	806034	 25	 22		 35				 25	 40				 22		 24	 26		 31	
2756	806161	 20	 40	 26	 20	 12	 24	 27	 18	 13	 40	 21	 15	 39	 29	 16	 30	 27	 48	 52
2757	806180	 13	 15	 30		 23	 27	 27	 25	 26	 39	 18	 43	 21	 28	 22	 16	 29	 42	 44
2758	806214	 30	 21	 25	 32	 33	 20	 25	 12	 44	 45	 34	 41	 28	 36	 28	 20	 20	 52	 42
2771	806250		 11	 25	 20	 22	 23	 11	 25	 49	 45	 18	 45	 26	 34	 40	 14	 26	 59	 46
2784	806310		 15	 26	 24	 24	 27	 56	 26	 34	 32	 28	 46	 25	 27	 35		 25	 47	 33
162	801591	 33	 31	 22	 13	 25	 13	 38	 18	 30	 40	 10	 26	 32	 26	 27	 25	 25	 50	 49
163	801593	 40	 32	 23		 36	 14	 30	 20	 29	 46		 56	 35	 34	 32	 37	 24	 59	 62
241	801763	 23		 23	 25	 37	 13	 57	 44	 43	 30	 26	 69	 30	 39	 26	 32	 27	 41	 54
254	801812	 20		 30	 21	 21	 29	 48	 39	 39	 38	 44	 46	 33	 37	 20	 38	 27	 56	 56
456	802045	 20		 19	 40	 27	 24	 40	 20	 40	 32	 33	 38	 25	 28	 37	 20	 25	 54	 50
868	802548	 35	 22	 26	 16	 21	 26	 26	 11	 27	 32	 25	 60	 29	 17	 24	 31	 26	 44	 45
946	802670	 20	 20	 22	 20	 16	 27	 14	 17	 22	 35	 32	 25	 25	 31	 20	 18	 25	 45	 40
1016	802758	 25		 25	 27	 21	 20	 34	 39	 29	 24	 25	 17	 17	 36	 20	 20	 25	 52	 48
1210	803078	 27	 20	 19	 28		 18	 27	 28	 24	 25		 10	 44	 25	 32	 20	 21	 50	 44
1211	803079	 28	 28	 20	 20	 20	 21	 25	 16	 28	 41	 17	 20	 30	 21	 15	 31	 21	 47	 56
1226	803102	 14	 28	 23	 33	 25	 18	 45	 35	 32	 29	 15	 20	 33	 40	 36	 37	 21	 45	 49
1228	803104	 20	 25	 24	 15	 25	 20	 36	 25	 38	 37	 14		 17	 27		 30	 15	 48	 46
1239	803121	 16	 31	 28	 32	 21	 18	 25	 49	 23	 45	 14	 19	 28		 35	 36	 21	 43	 46
1310	803226	 11	 12	 29	 15	 27	 22	 33	 34	 26	 43	 17	 36	 26	 29	 23	 29	 29	 49	 60
1311	803227	 12	 10	 21	 23	 13	 20	 15	 32	 46	 45	 10	 19	 22	 17	 11	 12	 26	 46	 54
1312	803228	 20		 23	 22	 12	 26	 31	 41	 45	 44	 27	 25	 25	 17	 22	 16	 23	 53	 55
1317	803235	 21	 20	 21	 20		 23	 27	 41	 40	 26	 28	 26	 23	 26	 23	 27	 22	 46	 55
1339	803269	 14		 22		 28	 19	 44	 37	 31	 30	 25	 42	 22	 24	 20	 20	 25	 51	 60
1343	803275	 27	 29	 24	 31	 23	 20	 37	 60	 22	 39		 25	 31	 25	 20	 30	 25	 51	 52
1344	803286	 15		 14	 21		 24	 25	 25	 38	 30	 15	 25	 25	 18	 20	 16	 24	 41	 37
1359	803324	 12	 12	 24	 15	 22	 23	 10		 35	 31		 28	 32	 19	 10	 13	 24	 46	 48
1366	803338	 29		 13	 30	 20	 28	 25	 12	 30	 28	 40	 19	 24	 28	 37	 11	 25	 54	 50
1378	803383	 22	 22	 23	 31		 27	 14	 19	 35	 26	 25	 38	 39	 17	 20	 31	 23	 50	 44
1398	803412	 12		 24	 20		 29	 47	 32	 20	 21		 25		 24	 33	 14	 24	 39	 47
1399	803413	 10	 12	 21	 29		 25	 27	 37	 40	 41	 19	 38	 30	 20	 21	 21	 23	 50	 57
1400	803414	 12	 16	 24	 23		 29	 26	 19	 20	 32		 26	 19	 21	 25	 20	 23	 40	 52
1417	803437			 15	 23		 21	 28	 29	 44	 43			 17		 22		 23	 45	 50
1425	803448		 13	 21	 30	 20	 25	 27	 34	 43	 45	 28	 37	 28	 31	 24	 28	 23	 53	 58
1431	803460		 12	 23	 24		 23	 26	 14	 41	 41		 39	 28	 19	 24	 30	 23	 36	 44
1447	803489	 15	 13	 16	 25	 15	 19	 32	 40	 41	 43	 26	 50	 28	 31	 20	 21	 24	 56	 56
1449	803491	 12	 13	 19	 20	 14	 24	 30	 20	 37	 26		 50		 18	 23	 20	 28	 30	 46
1454	803499	 24		 18	 21	 15	 21	 47	 26	 31	 44	 14	 40	 38	 33	 30	 26	 25	 55	 62
1457	803503	 13	 11	 19	 14	 15	 30	 37	 19	 26	 44	 12	 34	 17	 29	 20	 24	 26	 53	 61
1460	803507	 20	 10	 19	 20	 16	 22	 34	 15	 23	 35	 31	 41	 18	 30			 25	 54	 53
1462	803509	 15	 17	 19		 22	 22	 39	 19	 30	 31	 16	 42	 34	 26	 24	 24	 25	 49	 49
1465	803513	 23	 12	 22		 16	 24	 32	 27	 36	 45	 10	 26	 37	 29	 10	 22	 25	 52	 48
1517	803636	 30	 26	 20	 24	 23	 20	 27	 18	 35	 34		 26	 24	 31	 27	 27	 19	 42	 49
1518	803641	 40	 20	 17	 23	 20	 17	 35	 38	 31	 31	 16	 14	 22	 29	 20	 23	 17	 46	 35
1519	803642	 22	 16	 17		 22	 17	 25	 14	 33	 21	 32	 43	 22	 23	 20	 25	 18	 39	 33
1520	803644	 17	 13	 17	 21	 20	 13	 25	 26	 18	 24	 17	 25	 18	 10	 22	 22	 22	 31	 25
1526	803652	 31	 28	 17	 24	 22	 22	 25	 17	 36	 30	 12	 14	 25	 28	 20	 30	 26	 52	 37
1527	803653	 15		 12	 30	 20	 21	 29	 20	 37	 31	 25	 25	 27	 20	 37	 20	 23	 44	 30
1528	803654	 26	 23	 16	 21	 20	 23	 25	 33	 38	 38		 19	 28	 31	 29	 25	 23	 43	 51
1588	803738	 26	 29	 16	 22	 34	 22	 31	 34	 17	 33	 10	 16	 17	 27	 10	 23	 24	 32	 41
1589	803741	 20	 10	 15	 20	 23	 16	 25	 15	 25	 22		 18	 22	 36	 21	 23	 22	 29	 32
1590	803747	 20	 20	 18	 20	 33	 17	 27	 13	 29	 33		 20	 18	 37	 25	 32	 19	 38	 31
1621	803781	 15	 16	 24	 28	 26	 19	 35	 54	 44	 41	 15	 13	 39	 37	 25	 32	 24	 50	 53
1633	803812		 10	 20	 24	 30	 23	 33	 19	 45	 38	 34	 25	 31	 27	 23	 16	 24	 49	 51
1649	803842	 24	 21	 14	 35	 20	 24	 25	 33	 35	 23		 25	 33	 18	 23	 20	 22	 45	 42
1650	803843	 10		 16	 20		 21	 30	 34	 30	 26		 16	 22	 18	 13	 15	 23	 44	 40
1651	803844							 25		 22	 22				 13			 25	 36	 25
1652	803845	 23	 24	 15	 20	 29	 25	 34	 25	 39	 30	 18	 25	 29	 29	 21	 13	 23	 50	 55
1653	803846	 38		 14	 30	 10	 23	 33	 32	 28	 33			 29	 12			 22	 41	 35
1659	803857	 20	 20	 18		 20	 22	 27	 25	 22	 26	 11	 25	 27	 17		 27	 23	 49	 54
1660	803858	 20	 15	 17			 19	 34	 29	 20	 29	 25	 25	 20	 29	 20	 20	 27	 45	 50
1661	803859	 12	 20	 17	 11	 14	 21	 34	 12	 19	 30	 25	 28	 20	 23		 11	 22	 44	 53
1662	803862		 20	 17	 22	 14	 21	 32	 33	 30	 25	 14	 20	 27	 18	 23	 20	 25	 47	 38
1663	803865		 10	 17			 26	 25	 13	 18	 29		 12	 17	 10		 14	 26	 48	 47
1664	803871		 15	 26	 25	 20	 28	 27	 36	 32	 34	 25	 18	 17	 17	 16	 23	 25	 36	 53
1665	803873	 14	 16	 16	 23	 24	 23	 39	 37	 26	 31	 13	 25	 17	 31	 11	 15	 25	 44	 51
1698	803910	 24	 11	 18			 14	 37	 29	 28	 29			 26	 28	 21	 11	 23	 50	 44
1699	803912	 20	 20			 16		 41	 40	 18	 23		 15	 19	 33		 11	 23	 37	 46
1700	803915			 19			 21	 18	 26	 31	 39	 25		 18	 30			 19	 42	 51
1701	803916	 33	 35	 16	 11	 16	 23	 33	 47	 21	 33	 11	 19	 21	 28	 15	 24	 26	 49	 55
1702	803920		 16	 16	 21	 24	 22	 30	 20	 24	 19		 16	 17	 25	 20	 21	 21	 36	 44
1737	803958	 22	 20	 20		 14	 18	 35	 50	 20	 26	 18	 29	 18	 23	 10	 22	 27	 36	 41
1738	803961	 14	 15	 16	 20	 22	 20	 27	 25	 23	 26		 28	 23	 26	 20	 20	 25	 40	 44
1739	803963	 12	 16	 19	 20	 11	 20	 51	 36	 28	 33	 16	 13	 25	 32	 11	 22	 26	 40	 41
1740	803985	 20	 16	 22	 13	 24	 12	 26	 11	 23	 37		 19	 17	 33	 26	 17	 19	 36	 44
1741	803986	 35	 23	 23	 29	 21	 24	 25	 20	 43	 42	 14	 25	 38	 33	 24	 25	 18	 51	 47
1742	803992	 32	 21	 23	 25	 23	 20	 25	 25	 41	 42	 11	 26	 37	 36	 26	 25	 18	 45	 36
1906	804282	 20	 20	 21	 14	 28	 23	 12	 25	 44	 37	 14	 18	 26	 35	 20	 25	 18	 43	 44
1916	804351	 13	 27	 16	 15	 20	 22	 25	 28	 46	 42	 26	 42	 24	 45	 13	 20	 18	 49	 40
1920	804399	 27	 38	 24	 44	 42		 55	 59	 48	 41	 37	 66	 42	 38	 56	 49	 25	 60	 48
1921	804406	 21	 22	 13	 22	 23	 25	 34	 31	 36	 36	 19	 18	 35	 35	 20	 27	 28	 46	 38
2040	804626	 20	 13	 21			 26	 38	 34	 29	 36	 12	 34	 21	 33	 20	 12	 27	 42	 35
2054	804746	 26	 29	 18	 12	 26	 26	 42	 46	 36	 34	 10		 38	 37	 23	 23	 19	 50	 41
2055	804747	 20	 31		 24	 24		 58	 62	 37	 46			 36		 30	 31		 53	
2182	804943		 11	 24	 24		 24	 25	 16	 33	 22			 19	 10	 24	 20	 23	 43	 36
2183	804945	 13	 21	 17	 14	 25	 24	 13	 19	 37	 30	 13	 25	 21	 17	 20	 23	 23	 33	 36
2192	804967	 34	 20	 24	 31	 14	 25	 28	 15	 33	 20	 19	 25	 21	 18	 24	 20	 23	 30	 37
2385	805302	 20	 10	 24	 15	 15	 25	 36	 27	 39	 35	 37	 33	 21	 31	 43	 16	 26	 39	 41
2436	805408		 12	 26	 22	 20	 27	 39	 44	 36	 39	 29	 41	 35	 43	 23	 34	 20	 43	 43
2437	805409	 11	 12	 21	 23	 23	 23	 27	 44	 35	 41	 27	 44	 39	 41	 24	 38	 18	 40	 50
2442	805419		 13	 17		 10	 22	 18	 15	 23	 19		 11	 30	 19	 20	 25	 18	 38	 43
2448	805431	 17	 27	 20		 24	 25	 19	 16	 39	 29	 29	 42	 37	 34	 22	 34	 22	 55	 50
2458	805459			 18			 23	 25		 26	 14	 13	 14	 24		 20		 16	 34	 38
2460	805462	 24	 20	 16	 10		 23	 27	 15	 32	 28	 47	 42	 33	 22	 22	 34	 21	 51	 53
2462	805466		 12	 17	 20	 11	 21	 25		 33	 24			 34		 21	 11	 16	 51	 26
2464	805470	 12	 22	 15		 20	 19	 29	 17	 39	 31	 25	 36	 39	 34	 20	 13	 21	 56	 48
2481	805500	 22	 22	 18		 30	 25	 19	 14	 37	 32	 25	 28	 36	 37	 23	 32	 21	 43	 46
2484	805503	 17	 20	 17		 29	 28	 15		 28	 26		 39	 39	 29	 26	 33	 20	 45	 37
2486	805514	 15	 30	 20	 29		 22	 31	 18	 33	 18	 35	 18	 38	 32	 26		 27	 46	 32
2487	805517	 26	 25	 19	 25	 33	 26	 32	 18	 37	 37	 13	 25	 38	 42	 20	 40	 25	 51	 49
2488	805519	 14	 12	 18	 30	 20	 25	 28	 16	 29	 13	 35	 34	 37	 26	 30	 21	 23	 45	 36
2536	805614	 16	 21	 28	 27	 21	 22	 19	 21	 29	 50	 26	 39	 21	 44	 36	 32	 23	 43	 48
2546	805663	 50	 22	 23		 30	 18	 13	 27	 22	 44	 32	 15	 22	 41	 20	 32	 23	 49	 51
2550	805693	 10		 16			 18	 14		 17	 18	 15	 12	 18	 40		 13	 23	 28	 46
2656	805952	 42	 23	 26	 32	 26	 24	 18	 17	 43	 48	 19	 64	 33	 44	 39	 25	 28	 56	 57
2662	805961	 25	 28	 25	 41	 24	 23	 19	 12	 34	 40	 15	 15	 32	 45	 21	 22	 25	 50	 59
2669	805980	 12	 14	 26	 20	 20	 22	 25	 27	 22	 42	 19	 32	 27	 39	 15	 18	 22	 47	 53
2694	806034	 25	 22		 35				 25	 40				 22		 24	 26		 31	
2756	806161	 20	 40	 26	 20	 12	 24	 27	 18	 13	 40	 21	 15	 39	 29	 16	 30	 27	 48	 52
2757	806180	 13	 15	 30		 23	 27	 27	 25	 26	 39	 18	 43	 21	 28	 22	 16	 29	 42	 44
2758	806214	 30	 21	 25	 32	 33	 20	 25	 12	 44	 45	 34	 41	 28	 36	 28	 20	 20	 52	 42
2771	806250		 11	 25	 20	 22	 23	 11	 25	 49	 45	 18	 45	 26	 34	 40	 14	 26	 59	 46
2784	806310		 15	 26	 24	 24	 27	 56	 26	 34	 32	 28	 46	 25	 27	 35		 25	 47	 33
200	806702	 36	 31		 38	 34		 58	 58	 44	 32	 42	 47	 31	 34	 37	 47		 65	 41
203	806716	 15	 18	 19	 15	 16	 25	 31	 25	 38	 38	 25	 27	 25	 37	 41	 35	 23	 50	 47
205	806725	 20	 21	 22	 18		 25	 30	 11	 22	 33	 13	 36	 33	 31	 42	 21	 17	 55	 48
430	807190			 26	 21	 29	 22	 25	 26	 29	 36	 26	 55	 17	 34	 10	 42	 26	 50	 52
471	807240	 14	 16	 19	 22	 23	 24	 25	 19	 19	 35	 25	 41	 17	 35	 39	 23	 23	 35	 39
534	807362	 14	 14	 21	 12	 26	 11	 28	 28	 19	 19	 20	 32	 18	 19	 34	 20	 10	 42	 55
537	807370	 15	 11	 27	 20	 25	 23	 35	 29	 42	 39	 34	 45	 23	 36	 26	 25	 21	 43	 42
538	807372		 17	 27	 12	 23	 21	 38	 29	 28	 32	 35	 46	 24	 31	 24	 21	 22	 33	 30
544	807389	 12	 15	 25	 20	 23	 25	 30	 33	 31	 34	 35	 54	 30	 39	 28	 31	 24	 31	 49
548	807398	 14	 20	 26	 22	 12	 20	 28	 13	 36	 30	 11	 40	 19	 21	 20	 23	 27	 30	 30
552	807405	 20	 23	 25	 21	 13	 20	 37	 34	 41	 38	 10	 30	 27	 38	 24	 23	 21	 40	 41
555	807415	 12		 23	 14	 14	 20	 33	 18	 21	 21	 16	 13	 21	 25	 29	 31	 26	 35	 36
559	807422	 20		 27	 23		 23	 49	 25	 40	 41	 34	 30	 26	 35	 33	 28	 21	 53	 45
568	807451	 20		 25	 22	 15	 28	 34	 20			 25	 31	 19	 28	 20	 33	 10	 34	 37
576	807466		 28	 29	 24	 13	 27	 41	 16	 23	 29		 29	 26	 32	 20	 21	 28	 25	 40
599	807527	 16		 28	 17	 30	 26	 28	 20	 25	 40	 15	 29	 21	 42	 15	 36	 28	 35	 45
600	807531	 21	 17	 27	 21	 21	 27	 25	 25	 27	 33	 10	 25	 17	 38	 20	 31	 23	 36	 52
603	807539	 27	 21	 28	 21	 23	 26	 16	 14	 17	 39		 14	 17	 37	 24	 25	 22	 36	 44
605	807543	 27	 30	 25	 20	 21	 26	 31		 20	 43		 25	 18	 38	 38	 25	 23	 40	 38
