	A-ID	CHEMISTRY1	CHEMISTRY2	CHEMISTRY_prac	COMPUTERSCIENCE1	COMPUTERSCIENCE2	COMPUTER_prac	ENGLISH1	ENGLISH2	ISLAMIYAT1	ISLAMIYAT2	MATHEMATICS1	MATHEMATICS2	PAKSTUDIES1	PAKSTUDIES2	PHYSICS1	PHYSICS2	PHYSICS_prac	URDU1	URDU2
324	802550	23	31	28.0	27.0	29	46.0	28	29.0	32	37	31	59.0	25	31.0	41.0	48.0	25.0	48	51
325	802551	25	24	24.0	18.0	19	46.0	31	11.0	36	35	25	43.0	22	31.0	37.0	35.0	25.0	43	47
335	802564	20	25	28.0	21.0	26	50.0	32	15.0	30	34	25	62.0	32	20.0	21.0	30.0	25.0	41	49
336	802565	29	38	27.0	33.0	29	48.0	41	37.0	37	39	42	64.0	39	35.0	37.0	37.0	25.0	48	61
359	802662	34	31	26.0	17.0	24	47.0	30	34.0	39	35	34	32.0	38	22.0	30.0	44.0	25.0	52	52
360	802663	23	39	29.0	17.0	17	47.0	25	29.0	33	32	44	25.0	36	30.0	30.0	43.0	25.0	48	43
361	802664	25	34	26.0	21.0	22	50.0	35	37.0	40	26	31	42.0	34	26.0	30.0	37.0	24.0	50	47
365	802669	20	15	25.0	22.0	21	46.0	34	39.0	27	34	34	25.0	33	25.0	22.0	29.0	24.0	51	53
367	802671	29	23	27.0	19.0	25	45.0	43	44.0	45	48	28	47.0	36	30.0	31.0	45.0	25.0	57	48
368	802672	36	41	27.0	40.0	38	46.0	44	51.0	40	40	35	67.0	35	39.0	50.0	45.0	24.0	54	57
372	802676	38	38	28.0	29.0	37	47.0	44	48.0	42	45	33	44.0	31	43.0	31.0	43.0	26.0	54	54
374	802678	37	38	26.0	32.0	34	47.0	43	49.0	40	39	44	52.0	30	44.0	47.0	45.0	26.0	59	59
375	802679	41	44	26.0	32.0	35	47.0	36	36.0	39	38	39	53.0	39	41.0	45.0	47.0	26.0	50	49
459	802910	30	55	26.0	22.0	31	45.0	36	41.0	44	41	52	37.0	35	33.0	29.0	27.0	25.0	46	53
474	802929	22	15	22.0	17.0	23	43.0	35	33.0	40	44	25	26.0	35	18.0	33.0	16.0	21.0	48	40
475	802940	24	20	28.0	17.0	31	43.0	32	44.0	42	39	27	44.0	30	33.0	21.0	32.0	14.0	48	51
476	802945	27	20	26.0	32.0	35	44.0	38	51.0	43	44	49	33.0	32	36.0	29.0	35.0	14.0	52	49
477	802947	28	31	25.0	36.0	43	43.0	46	55.0	46	45	53	61.0	38	28.0	42.0	39.0	13.0	53	55
481	802974	38	40	28.0	38.0	41	45.0	49	58.0	46	47	34	60.0	35	28.0	47.0	44.0	28.0	54	63
482	802979	20	30	22.0	26.0	34	40.0	34	29.0	37	46	35	43.0	35	25.0	22.0	33.0	25.0	56	57
483	802984	20	20	20.0	24.0	26	41.0	34	28.0	35	43	27	48.0	31	25.0	20.0	22.0	29.0	45	53
484	802999	23	24	22.0	36.0	34	42.0	59	49.0	43	49	31	53.0	32	30.0	39.0	29.0	22.0	58	50
485	803004	26	26	22.0	36.0	38	38.0	35	38.0	38	46	27	51.0	28	26.0	33.0	39.0	21.0	49	49
486	803009	21	31	20.0	24.0	37	39.0	29	20.0	36	46	26	25.0	31	28.0	27.0	26.0	24.0	59	50
487	803014	35	37	28.0	40.0	29	37.0	36	32.0	43	42	35	52.0	32	23.0	42.0	38.0	20.0	53	59
488	803019	31	36	27.0	30.0	24	35.0	31	37.0	47	44	35	48.0	36	31.0	22.0	39.0	22.0	52	51
489	803023	20	30	24.0	17.0	31	36.0	30	34.0	40	39	25	35.0	31	33.0	20.0	31.0	23.0	50	51
490	803027	32	30	26.0	29.0	38	40.0	49	45.0	45	45	26	57.0	42	40.0	42.0	32.0	23.0	55	65
491	803030	39	32	24.0	30.0	46	38.0	44	44.0	45	47	35	68.0	44	44.0	48.0	42.0	25.0	59	65
492	803033	20	28	23.0	25.0	28	30.0	35	42.0	36	38	39	51.0	31	21.0	34.0	36.0	25.0	37	51
493	803036	20	28	22.0	33.0	31	36.0	35	38.0	43	48	28	54.0	29	31.0	25.0	37.0	23.0	53	50
494	803042	25	29	21.0	28.0	34	37.0	35	26.0	39	45	27	35.0	38	34.0	37.0	34.0	26.0	51	57
508	803071	29	51	26.0	41.0	47	47.0	40	44.0	42	49	26	59.0	37	29.0	37.0	46.0	21.0	56	63
509	803073	24	18	28.0	32.0	34	31.0	32	25.0	44	45	18	31.0	31	30.0	38.0	29.0	19.0	57	57
510	803075	36	31	28.0	40.0	41	44.0	47	46.0	45	49	35	38.0	39	33.0	35.0	36.0	17.0	63	61
532	803141	39	20	17.0	24.0	26	49.0	26	33.0	24	30	33	39.0	35	38.0	35.0	26.0	23.0	52	42
556	803191	24	33	18.0	26.0	27	36.0	25	22.0	40	39	25	43.0	28	40.0	25.0	23.0	21.0	59	45
558	803212	24	39	17.0	29.0	37	38.0	40	32.0	36	36	25	35.0	26	35.0	20.0	35.0	14.0	48	51
559	803230	34	23	25.0	36.0	36	44.0	47	27.0	39	44	38	36.0	31	26.0	34.0	26.0	24.0	54	56
589	803292	43	37	29.0	42.0	48	48.0	47	35.0	43	50	43	61.0	37	38.0	36.0	45.0	24.0	58	62
591	803294	38	38	28.0	40.0	37	42.0	44	47.0	43	41	48	55.0	39	30.0	30.0	40.0	23.0	59	57
593	803296	27	35	28.0	34.0	41	40.0	39	29.0	44	47	25	26.0	37	30.0	32.0	15.0	23.0	57	54
623	803348	20	17	20.0	34.0	31	41.0	38	46.0	40	43	32	44.0	29	23.0	23.0	22.0	24.0	49	56
625	803349	20	16	20.0	22.0	25	41.0	29	28.0	42	39	34	48.0	22	29.0	22.0	27.0	24.0	49	54
626	803350	32	32	20.0	29.0	25	45.0	57	48.0	41	42	34	56.0	32	26.0	23.0	33.0	23.0	47	53
627	803351	39	42	25.0	37.0	41	43.0	54	57.0	43	43	35	46.0	38	35.0	29.0	36.0	24.0	56	61
628	803352	22	17	26.0	24.0	25	42.0	50	42.0	38	37	18	26.0	27	22.0	23.0	29.0	23.0	55	59
629	803353	26	20	22.0	23.0	29	43.0	28	34.0	39	38	25	37.0	32	20.0	20.0	22.0	24.0	44	51
630	803354	23	27	22.0	42.0	32	42.0	39	49.0	46	44	25	44.0	35	30.0	31.0	30.0	28.0	56	58
631	803356	25	35	23.0	26.0	41	34.0	34	45.0	44	40	20	50.0	38	30.0	52.0	35.0	24.0	56	58
632	803359	38	47	27.0	45.0	42	49.0	45	53.0	40	44	47	64.0	32	36.0	47.0	54.0	27.0	56	64
633	803357	20	34	25.0	26.0	37	44.0	40	39.0	41	36	50	41.0	29	30.0	36.0	33.0	24.0	55	51
634	803358	24	20	23.0	31.0	28	42.0	36	34.0	40	43	32	42.0	36	34.0	20.0	40.0	28.0	53	57
635	803360	32	34	24.0	22.0	23	45.0	38	41.0	38	37	25	43.0	29	27.0	34.0	31.0	26.0	51	54
636	803361	28	35	30.0	37.0	43	44.0	51	48.0	44	43	46	49.0	37	40.0	39.0	37.0	25.0	61	55
637	803362	38	20	28.0	39.0	41	45.0	46	48.0	43	43	37	57.0	38	28.0	35.0	42.0	25.0	56	53
638	803366	31	30	25.0	35.0	37	39.0	54	55.0	45	45	32	60.0	39	23.0	39.0	45.0	25.0	58	62
639	803367	23	15	24.0	31.0	29	43.0	40	36.0	37	41	30	53.0	34	29.0	31.0	36.0	25.0	47	50
640	803368	20	25	24.0	31.0	34	41.0	38	39.0	32	35	25	35.0	32	27.0	29.0	39.0	26.0	47	57
641	803369	46	46	30.0	44.0	47	44.0	63	64.0	46	47	53	68.0	46	41.0	54.0	41.0	30.0	63	66
642	803370	41	32	29.0	45.0	39	47.0	54	54.0	42	43	53	57.0	40	34.0	46.0	49.0	28.0	57	63
643	803371	35	32	25.0	37.0	34	38.0	33	39.0	45	42	44	57.0	34	27.0	40.0	40.0	25.0	51	53
644	803373	20	37	24.0	19.0	36	37.0	55	57.0	42	41	43	61.0	37	26.0	32.0	39.0	25.0	59	64
645	803374	24	33	23.0	29.0	33	40.0	47	52.0	38	41	43	48.0	32	23.0	25.0	35.0	23.0	55	59
646	803376	36	30	23.0	22.0	28	42.0	28	37.0	37	39	29	49.0	33	23.0	30.0	33.0	23.0	51	60
658	803421	29	20	23.0	35.0	30	40.0	25	31.0	42	38	30	51.0	26	26.0	20.0	23.0	23.0	55	51
660	803425	37	13	23.0	34.0	19	42.0	46	25.0	46	44	41	34.0	31	35.0	26.0	37.0	24.0	55	50
662	803436	28	9	21.0	42.0	22	37.0	30	20.0	37	41	16	33.0	21	34.0	21.0	24.0	23.0	55	56
663	803440	28	44	26.0	39.0	37	41.0	47	52.0	40	42	37	48.0	36	43.0	37.0	44.0	23.0	57	56
666	803450	37	20	23.0	38.0	37	41.0	52	36.0	45	41	30	48.0	28	35.0	40.0	29.0	23.0	57	58
668	803452	26	24	18.0	24.0	11	35.0	25	31.0	40	35	27	29.0	19	21.0	20.0	25.0	24.0	39	38
669	803453	41	28	26.0	36.0	32	37.0	49	44.0	43	39	37	47.0	28	33.0	40.0	41.0	23.0	52	59
671	803457	26	27	21.0	17.0	25	24.0	27	31.0	37	38	16	35.0	31	41.0	13.0	24.0	25.0	59	61
674	803472	20	28	23.0	32.0	26	44.0	36	25.0	41	44	25	53.0	27	33.0	31.0	34.0	25.0	53	56
675	803474	29	33	26.0	33.0	28	45.0	44	27.0	44	42	39	50.0	37	38.0	42.0	44.0	25.0	57	57
676	803475	26	14	20.0	20.0	24	23.0	36	29.0	26	36	29	37.0	28	34.0	21.0	25.0	24.0	44	57
677	803479	24	33	24.0	28.0	32	43.0	39	32.0	41	36	26	50.0	32	40.0	37.0	34.0	24.0	46	53
679	803481	41	42	25.0	28.0	34	44.0	39	43.0	45	43	25	55.0	38	39.0	27.0	31.0	23.0	49	58
680	803483	39	47	29.0	41.0	38	44.0	33	48.0	44	43	37	68.0	43	40.0	46.0	44.0	26.0	57	59
681	803485	38	23	25.0	31.0	34	47.0	45	53.0	43	43	25	63.0	38	34.0	34.0	43.0	29.0	49	51
683	803487	27	36	26.0	33.0	33	44.0	46	51.0	43	45	32	58.0	36	34.0	43.0	43.0	27.0	56	60
691	803515	20	26	25.0	22.0	24	44.0	34	31.0	46	41	33	52.0	30	36.0	11.0	36.0	25.0	55	60
692	803517	20	38	24.0	17.0	36	44.0	45	35.0	37	42	60	57.0	27	39.0	30.0	41.0	26.0	47	57
693	803519	10	29	23.0	24.0	29	43.0	49	35.0	35	40	48	54.0	29	40.0	25.0	36.0	26.0	54	58
694	803521	22	28	25.0	22.0	39	46.0	55	50.0	38	44	33	47.0	33	41.0	47.0	42.0	26.0	59	57
696	803523	27	27	23.0	26.0	35	46.0	54	38.0	38	43	36	49.0	35	35.0	35.0	38.0	26.0	57	59
697	803525	20	27	24.0	11.0	31	31.0	38	39.0	17	27	19	33.0	20	30.0	23.0	25.0	27.0	43	51
698	803529	34	28	27.0	32.0	35	46.0	58	35.0	37	43	26	67.0	30	41.0	37.0	39.0	25.0	57	57
699	803531	29	37	27.0	23.0	33	45.0	48	33.0	41	44	35	65.0	32	39.0	46.0	44.0	24.0	49	54
700	803533	31	39	23.0	29.0	37	42.0	56	46.0	39	41	27	63.0	38	39.0	43.0	34.0	24.0	58	56
701	803535	37	38	26.0	19.0	35	49.0	40	51.0	42	45	30	66.0	39	39.0	34.0	40.0	30.0	58	59
702	803537	44	48	23.0	48.0	45	48.0	66	61.0	49	45	74	74.0	39	44.0	55.0	53.0	30.0	64	68
703	803539	35	32	24.0	38.0	37	43.0	44	48.0	45	39	43	64.0	30	38.0	48.0	40.0	26.0	54	59
704	803541	28	32	26.0	43.0	39	43.0	56	46.0	47	37	55	61.0	32	38.0	40.0	44.0	26.0	59	60
